Project_ID,Project_Name,Client,Department,Technology,Manager,Status,Risk,Budget,Actual_Cost,Progress,Sprint_Velocity,Team_Size,Open_Bugs,Remaining_Days,Team_Utilization,Start_Date,End_Date,Health_Score,Health_Category
PRJ-1111,Centurion GCP Transformation,Centurion Capital Partners,Cloud Infrastructure,GCP Vertex Cloud Ops,Benjamin Hayes (Principal Architect),Delayed,High,947600.0,617100.0,40.1,12.3,14,17,-13,97.6,2026-05-02,2026-06-26,39,Critical
PRJ-1112,Nexus Apache Transformation,Nexus Renewable Energy,Data Engineering,Apache Kafka Streaming,Sarah Jenkins (Director),Completed,Low,336200.0,325500.0,100.0,37.0,14,0,0,83.1,2026-01-18,2026-06-10,99,Excellent
PRJ-1113,Hyperion PyTorch Transformation,Hyperion Semiconductor Corp,AI & Automation,PyTorch & LLM Engine,Jonathan Sterling (Practice Lead),Planned,Low,695800.0,0.0,0.0,30.2,9,0,139,0.0,2026-07-13,2027-01-25,71,Needs Attention
PRJ-1114,Prism Airflow Transformation,Prism Media International,Data Engineering,Airflow Governance Sync,Marcus Vance (Sr. Manager),Delayed,High,352300.0,249300.0,42.8,17.3,16,17,-3,96.2,2026-03-03,2026-07-05,40,Critical
PRJ-1115,Sterling SAP Transformation,Sterling Telecom Corp,Digital Transformation,SAP S/4HANA Core Modernization,David Kim (Delivery VP),Delayed,High,298000.0,98600.0,20.0,17.8,10,27,12,95.0,2026-01-17,2026-07-09,40,Critical
PRJ-1116,Prism GCP Transformation,Prism Media International,Cloud Infrastructure,GCP Vertex Cloud Ops,Sarah Jenkins (Director),Completed,Low,541800.0,548300.0,100.0,50.0,7,0,0,80.3,2025-11-10,2026-05-19,100,Excellent
PRJ-1117,Quantum PyTorch Transformation,Quantum Aerospace Dynamics,AI & Automation,PyTorch & LLM Engine,Sophia Al-Mansoor (Sr. Manager),Active,Low,317900.0,230400.0,72.1,33.3,12,2,135,84.4,2026-04-11,2026-10-20,89,Good
PRJ-1118,Quantum Next.js Transformation,Quantum Aerospace Dynamics,Digital Transformation,Next.js Micro-Frontend,Marcus Vance (Sr. Manager),Delayed,High,898500.0,488600.0,33.2,13.4,13,18,-29,99.3,2026-01-27,2026-06-10,37,Critical
PRJ-1119,Quantum Serverless Transformation,Quantum Aerospace Dynamics,Cloud Infrastructure,Serverless Event Grid,Sophia Al-Mansoor (Sr. Manager),Delayed,High,264600.0,110700.0,25.9,12.9,5,25,-11,97.8,2026-04-22,2026-06-14,34,Critical
PRJ-1120,Horizon Multi-Cloud Transformation,Horizon Retail Enterprises,Cloud Infrastructure,Multi-Cloud Terraform Mesh,Marcus Vance (Sr. Manager),Active,Low,298200.0,133100.0,43.1,45.1,12,2,129,83.5,2026-04-11,2026-10-12,85,Good
PRJ-1121,Global Azure Transformation,Global Health Biosciences,Cloud Infrastructure,Azure Landing Zone Core,Elena Rostova (Principal Lead),Planned,Low,375500.0,0.0,0.0,38.6,6,0,79,0.0,2026-07-29,2027-01-25,73,Needs Attention
PRJ-1122,Quantum GCP Transformation,Quantum Aerospace Dynamics,Cloud Infrastructure,GCP Vertex Cloud Ops,Benjamin Hayes (Principal Architect),Active,Medium,903300.0,774300.0,84.7,37.8,14,4,105,80.2,2026-04-02,2026-11-24,91,Excellent
PRJ-1123,Quantum Next.js Transformation,Quantum Aerospace Dynamics,Digital Transformation,Next.js Micro-Frontend,Liam O'Connor (Principal Architect),Active,Low,1185200.0,419600.0,35.2,40.3,13,2,29,77.6,2026-02-21,2026-10-25,84,Good
PRJ-1124,Oceana Databricks Transformation,Oceana Global Shipping,Data Engineering,Databricks Lakehouse Core,Marcus Vance (Sr. Manager),Active,Low,809200.0,555700.0,65.1,40.1,11,0,128,82.7,2026-02-25,2026-09-12,92,Excellent
PRJ-1125,Prism Multi-Cloud Transformation,Prism Media International,Cloud Infrastructure,Multi-Cloud Terraform Mesh,Liam O'Connor (Principal Architect),Active,Low,1395000.0,554600.0,37.9,49.7,11,2,35,82.0,2026-04-20,2026-08-30,84,Good
PRJ-1126,Vanguard AWS Transformation,Vanguard Logistics International,Cloud Infrastructure,AWS EKS Multi-Region,Sophia Al-Mansoor (Sr. Manager),Active,Low,721200.0,477000.0,66.8,39.0,12,2,124,80.4,2026-03-07,2026-10-30,90,Excellent
PRJ-1127,Global Agentic Transformation,Global Health Biosciences,AI & Automation,Agentic AI Orchestrator,Arthur Pendelton (Director),Completed,Low,1031900.0,980600.0,100.0,51.9,8,0,0,85.7,2025-11-08,2026-05-30,100,Excellent
PRJ-1128,Global Multi-Cloud Transformation,Global Health Biosciences,Cloud Infrastructure,Multi-Cloud Terraform Mesh,Michelle Chang (Director),Active,Medium,1341800.0,1201400.0,87.2,34.3,8,3,115,86.4,2026-05-31,2026-12-02,91,Excellent
PRJ-1129,Pinnacle Airflow Transformation,Pinnacle Mutual Insurance,Data Engineering,Airflow Governance Sync,Alexander Wright (VP Delivery),Delayed,High,1207100.0,999100.0,46.6,13.1,14,25,12,95.8,2026-01-06,2026-06-13,38,Critical
PRJ-1130,Nexus Databricks Transformation,Nexus Renewable Energy,Data Engineering,Databricks Lakehouse Core,Priya Patel (PMO Lead),Completed,Low,428500.0,419200.0,100.0,38.8,16,0,0,79.1,2025-12-07,2026-06-18,100,Excellent
PRJ-1131,Global Agentic Transformation,Global Health Biosciences,AI & Automation,Agentic AI Orchestrator,Jonathan Sterling (Practice Lead),Delayed,High,1235700.0,309900.0,16.7,13.6,12,28,-6,94.0,2026-04-21,2026-07-06,39,Critical
PRJ-1132,Horizon Serverless Transformation,Horizon Retail Enterprises,Cloud Infrastructure,Serverless Event Grid,Sophia Al-Mansoor (Sr. Manager),Active,Medium,684100.0,527700.0,73.0,37.1,14,4,120,84.8,2026-03-14,2026-08-11,88,Good
PRJ-1133,Vanguard Serverless Transformation,Vanguard Logistics International,Cloud Infrastructure,Serverless Event Grid,Priya Patel (PMO Lead),Delayed,High,1169700.0,656500.0,31.6,17.5,7,23,-12,98.1,2026-04-15,2026-06-30,37,Critical
PRJ-1134,Vanguard React Transformation,Vanguard Logistics International,Digital Transformation,React Native Omni-App,Benjamin Hayes (Principal Architect),Active,Medium,1284900.0,920800.0,68.5,48.8,4,4,116,85.5,2026-04-13,2026-12-01,88,Good
PRJ-1135,Global Agentic Transformation,Global Health Biosciences,AI & Automation,Agentic AI Orchestrator,Benjamin Hayes (Principal Architect),Completed,Low,734100.0,688400.0,100.0,43.2,12,0,0,85.6,2026-02-04,2026-05-12,100,Excellent
PRJ-1136,Nexus GCP Transformation,Nexus Renewable Energy,Cloud Infrastructure,GCP Vertex Cloud Ops,Sarah Jenkins (Director),Active,Low,665400.0,320000.0,45.4,36.0,9,2,65,86.3,2026-05-09,2026-08-30,85,Good
PRJ-1137,Horizon Snowflake Transformation,Horizon Retail Enterprises,Data Engineering,Snowflake Realtime ETL,Sarah Jenkins (Director),Planned,Low,1228700.0,0.0,0.0,39.6,15,0,180,0.0,2026-08-09,2027-03-23,74,Needs Attention
PRJ-1138,Apex API Transformation,Apex Financial Group,Digital Transformation,API Gateway Zero-Trust,Marcus Vance (Sr. Manager),Completed,Low,430400.0,424300.0,100.0,49.3,6,0,0,82.2,2025-11-18,2026-05-16,100,Excellent
PRJ-1139,Vanguard Agentic Transformation,Vanguard Logistics International,AI & Automation,Agentic AI Orchestrator,Priya Patel (PMO Lead),Completed,Low,460000.0,467000.0,100.0,43.6,14,0,0,78.9,2025-11-14,2026-06-03,100,Excellent
PRJ-1140,Centurion API Transformation,Centurion Capital Partners,Digital Transformation,API Gateway Zero-Trust,Sarah Jenkins (Director),Active,Medium,897600.0,359800.0,40.2,38.4,15,4,98,81.2,2026-03-02,2026-10-10,82,Good
PRJ-1141,Nexus Predictive Transformation,Nexus Renewable Energy,AI & Automation,Predictive Analytics Core,Marcus Vance (Sr. Manager),Delayed,High,857300.0,815800.0,59.5,22.5,16,21,-28,97.1,2026-03-31,2026-06-13,44,Critical
PRJ-1142,Hyperion Apache Transformation,Hyperion Semiconductor Corp,Data Engineering,Apache Kafka Streaming,Sarah Jenkins (Director),Active,Medium,237800.0,178800.0,73.8,45.2,7,4,67,78.3,2026-04-16,2026-08-25,89,Good
PRJ-1143,Nexus Airflow Transformation,Nexus Renewable Energy,Data Engineering,Airflow Governance Sync,Alexander Wright (VP Delivery),Completed,Low,1162900.0,1206700.0,100.0,44.0,11,0,0,79.5,2026-01-10,2026-06-17,100,Excellent
PRJ-1144,Hyperion AWS Transformation,Hyperion Semiconductor Corp,Cloud Infrastructure,AWS EKS Multi-Region,Benjamin Hayes (Principal Architect),Delayed,Medium,198100.0,48500.0,17.0,15.8,7,10,-11,96.3,2026-04-16,2026-06-09,40,Critical
PRJ-1145,Apex Salesforce Transformation,Apex Financial Group,Digital Transformation,Salesforce Enterprise Sync,Benjamin Hayes (Principal Architect),Active,Low,521900.0,185100.0,34.7,34.2,16,2,72,81.4,2026-03-20,2026-08-27,82,Good
PRJ-1146,Pinnacle SAP Transformation,Pinnacle Mutual Insurance,Digital Transformation,SAP S/4HANA Core Modernization,Arthur Pendelton (Director),Delayed,High,795100.0,428000.0,31.5,21.6,11,17,-3,93.5,2025-12-28,2026-07-02,41,Critical
PRJ-1147,Sterling Serverless Transformation,Sterling Telecom Corp,Cloud Infrastructure,Serverless Event Grid,Arthur Pendelton (Director),Completed,Low,576300.0,551400.0,100.0,46.7,8,0,0,81.4,2026-02-01,2026-05-22,100,Excellent
PRJ-1148,Quantum Salesforce Transformation,Quantum Aerospace Dynamics,Digital Transformation,Salesforce Enterprise Sync,Sarah Jenkins (Director),Delayed,Medium,1335100.0,1178400.0,59.9,12.9,13,10,10,95.6,2026-04-03,2026-06-25,49,Critical
PRJ-1149,Horizon AWS Transformation,Horizon Retail Enterprises,Cloud Infrastructure,AWS EKS Multi-Region,Michelle Chang (Director),Active,Low,719600.0,266800.0,35.8,38.5,6,2,97,77.3,2026-03-21,2026-07-22,83,Good
PRJ-1150,Nexus GCP Transformation,Nexus Renewable Energy,Cloud Infrastructure,GCP Vertex Cloud Ops,Arthur Pendelton (Director),Active,Low,250000.0,154500.0,62.2,36.5,6,2,39,77.3,2026-02-05,2026-11-17,88,Good
